time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,    -0.060,     0.056,     1.139   1707.676   1744.421   1696.325   1850.095
0.12,    -0.126,    -0.029,     1.091   1567.807   1981.845   1458.515   2377.601
0.18,    -0.075,    -0.148,     0.581   1876.370   2143.575   1354.558   2546.643
0.24,     0.017,    -0.338,     0.000   1893.384   1747.435   1661.191   2395.313
0.06,    -0.066,     0.037,     1.127   1707.703   1744.318   1696.071   1849.978
0.12,    -0.040,    -0.140,     1.361   1643.196   1936.748   1449.635   2389.913
0.18,     0.023,    -0.429,     1.865   1714.600   1818.424   1599.346   2214.651
0.24,    -0.094,    -0.636,     2.387   1957.122   1661.519   1523.896   2514.912
0.30,    -0.186,    -0.675,     2.693   1551.367   1628.465   1484.336   1925.255
0.36,    -0.074,    -0.395,     3.003   1522.524   1898.202   1318.620   2242.510
0.42,     0.270,     0.090,     3.480   1799.928   1735.045   1360.219   2418.521
0.48,     0.713,     0.529,     4.115   1468.770   1583.926   1402.882   1868.275
0.54,     1.297,     1.067,     4.673   1591.841   1736.987   1429.269   2461.281
0.60,     2.095,     1.614,     5.283   1574.376   1862.391   1457.235   2655.595
0.66,     2.686,     1.946,     5.725   1661.667   2019.662   1173.388   2675.143
0.72,     3.170,     2.411,     6.271   1426.505   1751.975   1258.936   2465.675
0.78,     4.012,     2.976,     6.780   1468.920   2026.867   979.243   2557.444
0.84,     4.954,     3.655,     7.385   1161.876   1457.499   1094.381   2273.748
0.90,     5.799,     4.636,     7.959   1365.316   2005.233   799.866   2472.156
0.96,     6.935,     5.622,     8.312   1300.128   2120.371   601.586   2707.917
1.02,     7.978,     6.816,     8.655   938.420   1820.293   774.970   2483.637
1.08,     8.941,     8.099,     8.971   1103.033   1577.787   787.387   2779.488
1.14,    10.117,     9.383,     9.511   1341.743   1983.337   488.450   2951.844
1.20,    11.269,    10.389,     9.983   1596.650   1831.958   309.766   2963.404
1.26,    12.629,    11.070,    10.638   1314.807   2032.929   286.984   3039.191
0.06,    -0.040,     0.054,     1.108   1707.150   1744.401   1696.050   1850.142
0.12,     0.033,     0.158,     1.418   1957.186   1705.004   1497.879   2332.788
0.18,     0.140,     0.316,     1.602   1662.059   2005.654   1513.560   2232.933
0.24,     0.030,     0.492,     1.425   1609.959   1794.275   1594.519   2335.687
0.30,    -0.450,     0.574,     1.363   1904.750   1788.144   1731.930   2333.163
0.36,    -1.107,     0.660,     1.445   1963.565   2058.083   1556.977   2674.834
0.42,    -1.371,     0.844,     1.786   2075.767   2011.772   1575.978   2373.591
0.48,    -1.573,     1.205,     1.915   2038.801   1875.099   1505.139   2276.696
0.54,    -1.412,     1.764,     1.768   2235.329   2029.403   1677.307   2607.663
0.60,    -1.035,     2.685,     1.548   1971.669   1835.271   1485.009   2177.596
0.66,    -0.875,     3.709,     1.314   2304.823   1942.049   1489.529   2444.496
0.72,    -1.437,     5.016,     0.962   1813.436   2182.737   1809.529   2156.436
0.78,    -2.238,     6.243,     0.466   2130.889   2247.528   1752.867   2527.816
0.84,    -2.951,     7.199,     0.120   2258.985   2274.535   1940.286   2615.037
0.90,    -3.533,     7.753,     0.000   2265.590   2307.653   1607.501   2553.020
0.06,    -0.061,     0.006,     1.121   1707.415   1744.149   1695.986   1850.279
0.12,    -0.199,     0.167,     1.305   1582.775   2087.654   1451.725   2537.847
0.18,    -0.891,     0.374,     1.290   2016.362   1600.048   1728.802   2583.660
0.24,    -1.757,     0.777,     1.170   2182.208   1795.880   1766.065   2590.362
0.30,    -2.115,     1.017,     1.080   2003.728   1991.446   1611.052   2347.743
0.36,    -2.657,     1.115,     0.889   2251.870   1917.820   1541.545   2410.499
0.42,    -2.908,     1.201,     0.793   2272.563   2067.864   1441.423   2447.031
0.48,    -3.343,     1.332,     1.098   2529.779   1816.562   1596.651   2817.160
0.54,    -3.332,     1.602,     1.439   2540.112   1996.730   1488.965   2626.416
0.60,    -2.531,     1.617,     1.879   2522.427   1937.334   1642.303   2581.517
0.66,    -1.711,     1.589,     2.188   2328.529   1677.045   1749.357   2559.070
0.72,    -0.513,     1.524,     2.239   2001.309   1971.154   1530.167   2271.396
0.78,     0.962,     1.456,     2.166   2022.101   2054.800   1471.931   2493.564
0.84,     2.614,     1.497,     2.055   1404.202   1946.673   1432.907   2150.289
0.90,     4.098,     1.411,     1.955   1745.991   1960.457   1447.009   2507.348
0.96,     5.319,     1.629,     1.637   1782.486   1708.584   1480.140   2614.433
1.02,     6.672,     2.070,     1.244   1671.240   1663.906   1232.201   2463.466
1.08,     8.206,     2.692,     0.845   1602.790   1489.868   1211.780   2267.285
1.14,     9.991,     3.318,     0.084   1351.610   1732.815   1236.644   2294.099
1.20,    11.766,     3.935,     0.000   1182.405   1638.375   1042.624   2539.461
0.06,    -0.032,     0.071,     1.111   1707.117   1744.584   1696.260   1850.291
0.12,    -0.209,     0.190,     1.188   1929.177   1704.003   1463.180   2302.566
0.18,    -0.374,     0.131,     1.164   2267.920   1714.299   1688.247   2746.381
0.24,    -0.690,     0.236,     1.046   2186.449   1755.621   1673.088   2324.485
0.30,    -1.470,     0.438,     0.742   2060.713   1718.463   1603.059   2631.385
0.36,    -2.613,     0.648,     0.126   1969.199   2064.635   1742.156   2372.164
0.42,    -4.350,     1.099,     0.000   2256.162   1848.861   1737.037   2535.911
0.06,     0.108,    -0.035,     1.153   1706.069   1748.000   1707.480   1855.978
0.12,     0.007,    -0.297,     1.190   1740.094   1810.427   1673.773   1846.401
0.18,    -0.164,    -0.751,     0.944   1762.954   2058.680   1627.428   2475.833
0.24,    -0.238,    -1.345,     0.639   1884.896   1900.047   1241.325   2360.095
0.30,    -0.234,    -1.867,     0.118   1740.553   1903.370   1587.719   2388.243
0.36,    -0.292,    -2.284,     0.000   1437.335   2111.331   1352.864   2157.527
